ext_id,price,discounted_price,ontology
10278,81,70.10311954654901,Female>Health & Beauty>Skincare>Face>Face Cleanser and Face Wash
14074,269,146.44827184837152,Unisex>Health & Beauty>Gift Ideas>Skincare
96284,72,50.60992505069698,Female>Health & Beauty>Face>Moisturisers
78684,15,6.5616102423195937,Unisex>Health & Beauty>Shampoo>Body>Shampoo
89154,79.900000000000006,62.011263067125761,Unisex>Health & Beauty>Bath & Body>Body Cleanser>Shower Gel
87127,24,16.411501152687684,Unisex>Health & Beauty>Hand Lotion>Body>Hand Care
10158,119,51.341711813229836,Female>Health & Beauty>Skincare
EV002,100,43.776772589888544,Unisex>Health & Beauty>Gift Ideas
97448,41.5,18.840652803901399,Female>Health & Beauty>Body>Conditioner
58758,84,51.979705981217535,Female>Health & Beauty>Body>Hair Treatment & Styling
15818,74,68.811606948657641,Female>Health & Beauty>Body Cleanser>Body>Body Cleansers
10517,113,53.403323803780111,Unisex>Health & Beauty>Bath & Body>Body Scrub
EV014,100,54.605868928616275,Unisex>Health & Beauty>Gift Ideas
97351,39,30.948487517029786,Female>Health & Beauty>Bath & Body
61435,49,36.536432715822556,Female>Health & Beauty>Make Up>Makeup>Brushes And Tools
17166,74,40.550853322713678,Unisex>Health & Beauty>Bath & Body>Body Butter>Body Cleanser>Gift Ideas>Hand Cream
75520,180,147.12755738902737,Unisex>Health & Beauty>Fragrance>Fragrance>Eau De Parfum
26958,58,47.762667256789918,Unisex>Health & Beauty>Skincare>Face>Face Cleanser and Face Wash
87008,62,56.334235822496964,Female>Health & Beauty>Hand Cream>Body>Hand Care
78481,15,12.866235880231706,Unisex>Health & Beauty>Conditioner>Body>Conditioner
EV016,50,45.834533089776102,Unisex>Health & Beauty>Gift Ideas
19010,103,65.428767706483086,Female>Health & Beauty>Skincare>Face>Face Masks
97734,62,26.234712631365316,Unisex>Health & Beauty>Bath & Body>Shampoo
83972,169,127.5206116958006,Unisex>Health & Beauty>Home Fragrance>Fragrance>Accessories
14166,119,54.450303860888553,Male>Health & Beauty>Gift Ideas>Face>Mens Skincare
10497,113,74.83562788747706,Unisex>Health & Beauty>Bath & Body>Body Butter
88366,59,48.270208235831966,Female>Health & Beauty>Makeup>Brushes And Tools
95990,38,22.307468954794427,Unisex>Health & Beauty>Bath & Body>Body Cleanser
97393,75,40.069529364306966,Unisex>Health & Beauty>Bath & Body>Body Lotion
88196,58.5,25.669986845470248,Unisex>Health & Beauty>Bath & Body>Body>Targeted Treatments
96710,14,7.1582674920137901,Female>Health & Beauty>Bath & Body>Body Cleanser
97027,249,208.31177843569392,Female>Health & Beauty>Skincare>Face>Serum
4107,-1,-0.81413523463342896,Unisex>Health & Beauty>Bath & Body>Skincare
4090,-1,-0.47616421645605289,na>Health & Beauty>Skincare
387,70,63.207473233130195,na>Health & Beauty>Face>Moisturisers
553,89.900000000000006,44.599641069570168,na>Health & Beauty>Makeup>Foundation & Concealer
920,18,13.030269856235561,na>Health & Beauty>Soap>Body>Body Cleansers
849,69,33.584241131911654,na>Health & Beauty>Fragrance>Eau De Toilette
696,63,32.6976470146816,na>Health & Beauty>Makeup>Foundation & Concealer
682,52,34.318702774005573,na>Health & Beauty>Makeup>Lip
3580,69,44.361410805047214,na>Health & Beauty>Make Up>Makeup>Foundation & Concealer
4026,84,39.603200715026745,na>Health & Beauty>Body Mist>Fragrance
3479,39.899999999999999,26.060982324001859,na>Health & Beauty>Hand Wash>Body>Hand Wash
4086,108,67.89164479552737,na>Health & Beauty>Scrub>Skincare
4038,75,39.663967365739452,na>Health & Beauty>Body Mist>Fragrance
3621,92,77.149895576260448,na>Health & Beauty>Face>Moisturisers
3996,25,18.856121752054662,na>Health & Beauty>Lip Balm>Face>Lip Care
3951,39,16.086719896534724,na>Health & Beauty>Body>Accessories
4076,69,61.419491280262847,na>Health & Beauty>Skincare>Face>Accessories
3736,139,111.59678908512403,Unisex>Health & Beauty>Bath & Body>Gift Ideas
3622,89,66.952794516319358,na>Health & Beauty>Serum
4030,76,57.501417557268141,na>Health & Beauty>Fragrance>Fragrance>Eau De Parfum
96168,41.5,33.425579302871746,na>Health & Beauty>Make Up>Makeup>Lip
Spa_Relaxation_Set,-1,-0.89337092153293818,Unisex>Health & Beauty>Bath & Body
383,63,28.021227661272302,na>Health & Beauty>Skincare>Face>Face Scrub & Exfoliators
395,70,28.015390329509451,na>Health & Beauty>Face>Face Toners
537,64,27.274968593184639,na>Health & Beauty>Make Up>Makeup>Cheeks
596,57,48.755900476287643,na>Health & Beauty>Make Up>Makeup>Lip
411,58,34.70586419225247,na>Health & Beauty>Skincare>Face>Face Cleanser and Face Wash
870,143.5,113.80254293794978,na>Health & Beauty>Fragrance>Fragrance>Eau De Toilette
3673,119,86.447667888759582,na>Health & Beauty>Gift Ideas>Make Up
3992,34.5,30.977370856415803,Unisex>Health & Beauty>Body Scrub>Body>Body Scrubs
3594,-1,-0.47972384403174428,na>Health & Beauty
4029,45,24.944696325677583,na>Health & Beauty>Deodorant>Body>Deodorant
4039,90,44.40635099329625,na>Health & Beauty>Body Mist>Fragrance>Body Mists
4023,146,64.958210446700591,na>Health & Beauty>Fragrance>Fragrance>Eau De Toilette
98644,113,52.956238992739394,Female>Health & Beauty>Body Scrub>Body>Body Scrubs
96149,41.5,24.59255860550882,na>Health & Beauty>Make Up>Makeup>Lip
96633,48,33.711556303320378,na>Health & Beauty>Makeup>Eye Liners & Brows
55317,41.5,22.097805253791424,na>Health & Beauty>Bath & Body>Body>Conditioner
97347,55,41.221711604734232,na>Health & Beauty>Body>Accessories
4083,109,100.88947128753917,na>Health & Beauty>Shampoo>Body>Conditioner
87358,99,52.933674903963706,Female>Health & Beauty>Make Up>Makeup>Foundation & Concealer
97776,289,162.18830589341869,Unisex>Health & Beauty>Body Scrub>Gift Ideas
1924,145,125.83741542258204,na>Health & Beauty>Makeup>Foundation & Concealer
2254,89,56.634697921877382,na>Health & Beauty>Bath & Body>Body Lotion
1422,79.900000000000006,70.749910699893846,na>Health & Beauty>Shower Gel>Body>Body Cleansers
1995,105,50.730444859225223,na>Health & Beauty>Make Up>Makeup>Foundation & Concealer
1800,14,8.4041048784982308,na>Health & Beauty>Bath & Body>Body Cleanser
1489,25,22.721160786544374,na>Health & Beauty>Body>Seasonal Body Care
2460,50,35.849201923369677,na>Health & Beauty>Body>Targeted Treatments
2160,160,84.473861528245848,na>Health & Beauty>Skincare>Face>Moisturisers
2931,41,38.099814728383343,na>Health & Beauty
1994,105,84.480200662372795,na>Health & Beauty>Make Up>Makeup>Foundation & Concealer
2377,21,12.471986953488683,na>Health & Beauty>Bath & Body>Body>Accessories
2936,95,71.678429859449395,na>Health & Beauty>Scrub>Shampoo
2315,101,86.850046842765636,na>Health & Beauty>Make Up>Makeup>BB Cream
2389,96.5,66.962161289592018,na>Health & Beauty>Skincare>Face>Serum
2214,32.5,23.910067142519377,na>Health & Beauty>Bath & Body>Body Butter
2713,75,37.834517706419724,na>Health & Beauty>Skincare>Face>Face Cleanser and Face Wash
2779,52,33.563256913727386,na>Health & Beauty>Body>Body Cleansers
2932,42,25.540846787882163,na>Health & Beauty
2459,103,79.621310484537787,na>Health & Beauty>Skincare>Face>Face Masks
2431,9.9000000000000004,9.0056312601361537,na>Health & Beauty>Bath & Body>Body>Accessories
3138,48,19.90175873441553,Unisex>Health & Beauty>Body Cleanser>Body>Body Cleansers
2689,3,2.2252014586640323,na>Health & Beauty
2444,79.900000000000006,48.787512420962919,na>Health & Beauty>Body Butter>Body>Body Butters
3192,41.5,34.082462183765315,na>Health & Beauty>Body>Shampoo
3367,41.5,30.003504590437203,na>Health & Beauty>Shampoo>Body>Shampoo
3410,116,97.390963377235167,na>Health & Beauty>Fragrance>Fragrance>Eau De Toilette
3169,15,6.5754914460243157,na>Health & Beauty>Body>Conditioner
3415,101,54.260945496333328,na>Health & Beauty>Fragrance>Fragrance>Eau De Parfum
2710,84,45.217505991292356,Unisex>Health & Beauty>Bath & Body>Body Balm>Body Butter
3370,84,42.0086622185054,na>Health & Beauty>Body>Hair Treatment & Styling
3516,29.899999999999999,24.461740384869575,na>Health & Beauty>Skincare>Face>Face Masks
3311,59,50.978743855012411,na>Health & Beauty>Body>Conditioner
3154,43.5,25.762365311526771,na>Health & Beauty>Lip Balm>Makeup>Lip
3540,89,80.920952309200544,na>Health & Beauty>Body Mist>Body>Hair Treatment & Styling
1002,18,17.055687489314664,na>Health & Beauty>Soap>Body>Body Cleansers
1492,14,6.8041579828581842,na>Health & Beauty>Bath & Body>Body Cleanser>Shower Cream
2232,31,22.934790297613358,na>Health & Beauty>Bath & Body>Body Cleanser>Shower Gel
2314,70,29.952463239567884,na>Health & Beauty>Skincare>Face>Eye Care
